id,color,object,prompt
933,Deep blue,microwave,A microwave that is entirely Deep blue.
934,Deep blue,couch,A Deep blue colored couch.
935,Deep blue,crocodile,A crocodile with a Deep blue color.
936,Deep blue,parrot,A parrot rendered in Deep blue color.
937,Deep blue,duck,"A duck, and it's Deep blue."
938,Deep blue,bus,"A bus, and it's Deep blue."
939,Deep blue,minivan,An image of a Deep blue minivan.
940,Deep blue,chair,A single Deep blue chair.
941,Deep blue,mango,A mango in a Deep blue color.
942,Deep blue,fan,A fan in a Deep blue color.
943,Deep blue,bear,A single Deep blue bear.
944,Deep blue,cow,A photo of a Deep blue cow.
945,Deep blue,football helmet,A football helmet that is entirely Deep blue.
946,Deep blue,taxi,A taxi rendered in Deep blue color.
947,Deep blue,umbrella,A photo of a Deep blue umbrella.
948,Deep blue,vehicle,An image of a Deep blue vehicle.
949,Deep blue,suitcase,A Deep blue suitcase.
950,Deep blue,snowboard,A snowboard with a Deep blue color.
951,Deep blue,socks,"A socks, and it's Deep blue."
952,Deep blue,candle,A Deep blue colored candle.
953,Deep blue,clock,A clock in a Deep blue color.
954,Deep blue,desk,The desk is Deep blue.
955,Deep blue,oven,A realistic oven in Deep blue.
956,Deep blue,boxing glove,A boxing glove in a Deep blue color.
957,Deep blue,sports car,The sports car is Deep blue.
958,Deep blue,jeans,An image of a Deep blue jeans.
959,Deep blue,baseball bat,The baseball bat is Deep blue.
960,Deep blue,iron,A photo of a Deep blue iron.
961,Grayish blue,baseball bat,"A baseball bat, and it's Grayish blue."
962,Grayish blue,teapot,A realistic teapot in Grayish blue.
963,Grayish blue,crocodile,A photo of a Grayish blue crocodile.
964,Grayish blue,elephant,A realistic elephant in Grayish blue.
965,Grayish blue,wardrobe,"A wardrobe, and it's Grayish blue."
966,Grayish blue,banana,"A banana, and it's Grayish blue."
967,Grayish blue,umbrella,A umbrella rendered in Grayish blue color.
968,Grayish blue,sponge,A Grayish blue sponge.
969,Grayish blue,sports car,The sports car is Grayish blue.
970,Grayish blue,vehicle,A Grayish blue vehicle.
971,Grayish blue,papaya,An image of a Grayish blue papaya.
972,Grayish blue,orange,A orange that is entirely Grayish blue.
973,Grayish blue,guava,A photo of a Grayish blue guava.
974,Grayish blue,iron,A iron in a Grayish blue color.
975,Grayish blue,taxi,A realistic taxi in Grayish blue.
976,Grayish blue,clock,A clock rendered in Grayish blue color.
977,Grayish blue,tie,A tie in a Grayish blue color.
978,Grayish blue,bus,A single Grayish blue bus.
979,Grayish blue,cow,The cow is Grayish blue.
980,Grayish blue,candle,An image of a Grayish blue candle.
981,Grayish blue,bicycle,A bicycle that is entirely Grayish blue.
982,Grayish blue,bear,An image of a Grayish blue bear.
983,Grayish blue,parrot,The parrot is Grayish blue.
984,Grayish blue,socks,A Grayish blue socks.
985,Grayish blue,remote,A remote that is entirely Grayish blue.
986,Grayish blue,mango,A single Grayish blue mango.
987,Grayish blue,apple,A apple with a Grayish blue color.
988,Grayish blue,oven,A oven rendered in Grayish blue color.
989,Grayish blue,sweatshirt,"A sweatshirt, and it's Grayish blue."
990,Grayish blue,ruler,The ruler is Grayish blue.
991,Light bluish gray,clock,A single Light bluish gray clock.
992,Light bluish gray,mug,"A mug, and it's Light bluish gray."
993,Light bluish gray,pants,A Light bluish gray pants.
994,Light bluish gray,parrot,A parrot with a Light bluish gray color.
995,Light bluish gray,vehicle,A single Light bluish gray vehicle.
996,Light bluish gray,boxing glove,A Light bluish gray colored boxing glove.
997,Light bluish gray,crocodile,An image of a Light bluish gray crocodile.
998,Light bluish gray,sweatshirt,A realistic sweatshirt in Light bluish gray.
999,Light bluish gray,sports ball,A Light bluish gray sports ball.
1000,Light bluish gray,elephant,A Light bluish gray colored elephant.
1001,Light bluish gray,microwave,The microwave is Light bluish gray.
1002,Light bluish gray,wardrobe,A Light bluish gray colored wardrobe.
1003,Light bluish gray,bicycle,A bicycle that is entirely Light bluish gray.
1004,Light bluish gray,sports car,A realistic sports car in Light bluish gray.
1005,Light bluish gray,socks,A socks with a Light bluish gray color.
1006,Light bluish gray,jeans,A jeans with a Light bluish gray color.
1007,Light bluish gray,suitcase,The suitcase is Light bluish gray.
1008,Light bluish gray,banana,A banana rendered in Light bluish gray color.
1009,Light bluish gray,minivan,A realistic minivan in Light bluish gray.
1010,Light bluish gray,ruler,A Light bluish gray colored ruler.
1011,Light bluish gray,bus,A photo of a Light bluish gray bus.
1012,Light bluish gray,skateboard,A Light bluish gray skateboard.
1013,Light bluish gray,cow,A Light bluish gray colored cow.
1014,Light bluish gray,guava,A guava in a Light bluish gray color.
1015,Light bluish gray,mango,A Light bluish gray colored mango.
1016,Light bluish gray,baseball bat,A baseball bat with a Light bluish gray color.
1017,Light bluish gray,papaya,A photo of a Light bluish gray papaya.
1018,Light bluish gray,oven,A oven with a Light bluish gray color.
1019,Light bluish gray,remote,"A remote, and it's Light bluish gray."
1020,Light bluish gray,duck,A realistic duck in Light bluish gray.
1021,Grayish violet,candle,A single Grayish violet candle.
1022,Grayish violet,boxing glove,A single Grayish violet boxing glove.
1023,Grayish violet,cow,A realistic cow in Grayish violet.
1024,Grayish violet,chair,"A chair, and it's Grayish violet."
1025,Grayish violet,apple,A single Grayish violet apple.
1026,Grayish violet,desk,A Grayish violet colored desk.
1027,Grayish violet,bus,A photo of a Grayish violet bus.
1028,Grayish violet,microwave,"A microwave, and it's Grayish violet."
1029,Grayish violet,tie,A realistic tie in Grayish violet.
1030,Grayish violet,football helmet,"A football helmet, and it's Grayish violet."
1031,Grayish violet,socks,A Grayish violet colored socks.
1032,Grayish violet,sweatshirt,A sweatshirt in a Grayish violet color.
1033,Grayish violet,remote,An image of a Grayish violet remote.
1034,Grayish violet,oven,The oven is Grayish violet.
1035,Grayish violet,guava,A realistic guava in Grayish violet.
1036,Grayish violet,papaya,A single Grayish violet papaya.
1037,Grayish violet,baseball bat,The baseball bat is Grayish violet.
1038,Grayish violet,sports ball,A single Grayish violet sports ball.
1039,Grayish violet,ruler,A ruler rendered in Grayish violet color.
1040,Grayish violet,vehicle,A photo of a Grayish violet vehicle.
1041,Grayish violet,mango,A mango in a Grayish violet color.
1042,Grayish violet,duck,An image of a Grayish violet duck.
1043,Grayish violet,couch,A Grayish violet colored couch.
1044,Grayish violet,elephant,The elephant is Grayish violet.
1045,Grayish violet,iron,The iron is Grayish violet.
1046,Grayish violet,fan,A Grayish violet colored fan.
1047,Grayish violet,bear,A bear with a Grayish violet color.
1048,Grayish violet,wardrobe,An image of a Grayish violet wardrobe.
1049,Grayish violet,orange,An image of a Grayish violet orange.
1050,Grayish violet,minivan,"A minivan, and it's Grayish violet."
1051,Vivid purple,pants,A pants rendered in Vivid purple color.
1052,Vivid purple,wardrobe,A photo of a Vivid purple wardrobe.
1053,Vivid purple,bear,A bear with a Vivid purple color.
1054,Vivid purple,teapot,"A teapot, and it's Vivid purple."
1055,Vivid purple,sports car,A Vivid purple colored sports car.
1056,Vivid purple,ruler,A Vivid purple colored ruler.
1057,Vivid purple,bus,"A bus, and it's Vivid purple."
1058,Vivid purple,snowboard,The snowboard is Vivid purple.
1059,Vivid purple,sponge,A sponge rendered in Vivid purple color.
1060,Vivid purple,baseball bat,A photo of a Vivid purple baseball bat.
1061,Vivid purple,orange,A orange in a Vivid purple color.
1062,Vivid purple,apple,A Vivid purple colored apple.
1063,Vivid purple,guava,A single Vivid purple guava.
1064,Vivid purple,taxi,A Vivid purple colored taxi.
1065,Vivid purple,iron,A iron with a Vivid purple color.
1066,Vivid purple,candle,An image of a Vivid purple candle.
1067,Vivid purple,bicycle,A bicycle that is entirely Vivid purple.
1068,Vivid purple,parrot,The parrot is Vivid purple.
1069,Vivid purple,socks,A Vivid purple socks.
1070,Vivid purple,oven,A realistic oven in Vivid purple.
1071,Vivid purple,minivan,A photo of a Vivid purple minivan.
1072,Vivid purple,umbrella,"A umbrella, and it's Vivid purple."
1073,Vivid purple,vehicle,A vehicle in a Vivid purple color.
1074,Vivid purple,boxing glove,A single Vivid purple boxing glove.
1075,Vivid purple,football helmet,A football helmet in a Vivid purple color.
1076,Vivid purple,clock,The clock is Vivid purple.
1077,Vivid purple,cow,An image of a Vivid purple cow.
1078,Vivid purple,papaya,An image of a Vivid purple papaya.
1079,Vivid purple,tie,A realistic tie in Vivid purple.
1080,Vivid purple,crocodile,"A crocodile, and it's Vivid purple."
1081,Deep purple,suitcase,A photo of a Deep purple suitcase.
1082,Deep purple,football helmet,A football helmet that is entirely Deep purple.
1083,Deep purple,microwave,"A microwave, and it's Deep purple."
1084,Deep purple,mug,A Deep purple mug.
1085,Deep purple,tie,A Deep purple colored tie.
1086,Deep purple,clock,A clock in a Deep purple color.
1087,Deep purple,chair,A chair rendered in Deep purple color.
1088,Deep purple,apple,A Deep purple colored apple.
1089,Deep purple,teapot,"A teapot, and it's Deep purple."
1090,Deep purple,cow,A cow in a Deep purple color.
1091,Deep purple,socks,A photo of a Deep purple socks.
1092,Deep purple,banana,A banana rendered in Deep purple color.
1093,Deep purple,remote,The remote is Deep purple.
1094,Deep purple,sports car,The sports car is Deep purple.
1095,Deep purple,pants,An image of a Deep purple pants.
1096,Deep purple,baseball bat,A single Deep purple baseball bat.
1097,Deep purple,candle,A realistic candle in Deep purple.
1098,Deep purple,elephant,A realistic elephant in Deep purple.
1099,Deep purple,jeans,"A jeans, and it's Deep purple."
1100,Deep purple,parrot,A parrot in a Deep purple color.
1101,Deep purple,crocodile,A single Deep purple crocodile.
1102,Deep purple,guava,A single Deep purple guava.
1103,Deep purple,mango,A mango rendered in Deep purple color.
1104,Deep purple,duck,The duck is Deep purple.
1105,Deep purple,papaya,A photo of a Deep purple papaya.
1106,Deep purple,sweatshirt,A Deep purple colored sweatshirt.
1107,Deep purple,skateboard,A skateboard with a Deep purple color.
1108,Deep purple,boxing glove,The boxing glove is Deep purple.
1109,Deep purple,orange,"A orange, and it's Deep purple."
1110,Deep purple,couch,"A couch, and it's Deep purple."
1111,Light reddish purple,iron,A iron rendered in Light reddish purple color.
1112,Light reddish purple,duck,A duck in a Light reddish purple color.
1113,Light reddish purple,sports car,The sports car is Light reddish purple.
1114,Light reddish purple,chair,A chair in a Light reddish purple color.
1115,Light reddish purple,jeans,A jeans with a Light reddish purple color.
1116,Light reddish purple,boxing glove,A photo of a Light reddish purple boxing glove.
1117,Light reddish purple,socks,A socks rendered in Light reddish purple color.
1118,Light reddish purple,cow,A cow rendered in Light reddish purple color.
1119,Light reddish purple,ruler,A photo of a Light reddish purple ruler.
1120,Light reddish purple,wardrobe,A photo of a Light reddish purple wardrobe.
1121,Light reddish purple,crocodile,A crocodile with a Light reddish purple color.
1122,Light reddish purple,orange,A orange rendered in Light reddish purple color.
1123,Light reddish purple,clock,A realistic clock in Light reddish purple.
1124,Light reddish purple,elephant,A elephant rendered in Light reddish purple color.
1125,Light reddish purple,oven,A Light reddish purple colored oven.
1126,Light reddish purple,banana,A banana rendered in Light reddish purple color.
1127,Light reddish purple,candle,A Light reddish purple candle.
1128,Light reddish purple,bear,A Light reddish purple bear.
1129,Light reddish purple,fan,The fan is Light reddish purple.
1130,Light reddish purple,sponge,A Light reddish purple sponge.
1131,Light reddish purple,pants,A pants with a Light reddish purple color.
1132,Light reddish purple,skateboard,A skateboard rendered in Light reddish purple color.
1133,Light reddish purple,snowboard,An image of a Light reddish purple snowboard.
1134,Light reddish purple,bus,A bus with a Light reddish purple color.
1135,Light reddish purple,football helmet,A football helmet that is entirely Light reddish purple.
1136,Light reddish purple,couch,A couch rendered in Light reddish purple color.
1137,Light reddish purple,baseball bat,A single Light reddish purple baseball bat.
1138,Light reddish purple,minivan,A minivan rendered in Light reddish purple color.
1139,Light reddish purple,apple,A apple with a Light reddish purple color.
1140,Light reddish purple,taxi,A Light reddish purple taxi.
1141,Deep purplish pink,mug,A mug in a Deep purplish pink color.
1142,Deep purplish pink,boxing glove,The boxing glove is Deep purplish pink.
1143,Deep purplish pink,parrot,A Deep purplish pink colored parrot.
1144,Deep purplish pink,microwave,A microwave that is entirely Deep purplish pink.
1145,Deep purplish pink,snowboard,"A snowboard, and it's Deep purplish pink."
1146,Deep purplish pink,oven,The oven is Deep purplish pink.
1147,Deep purplish pink,candle,An image of a Deep purplish pink candle.
1148,Deep purplish pink,sports ball,"A sports ball, and it's Deep purplish pink."
1149,Deep purplish pink,guava,A guava that is entirely Deep purplish pink.
1150,Deep purplish pink,sponge,A photo of a Deep purplish pink sponge.
1151,Deep purplish pink,desk,The desk is Deep purplish pink.
1152,Deep purplish pink,apple,A Deep purplish pink apple.
1153,Deep purplish pink,orange,An image of a Deep purplish pink orange.
1154,Deep purplish pink,bear,A single Deep purplish pink bear.
1155,Deep purplish pink,teapot,A teapot rendered in Deep purplish pink color.
1156,Deep purplish pink,suitcase,A single Deep purplish pink suitcase.
1157,Deep purplish pink,pants,A pants that is entirely Deep purplish pink.
1158,Deep purplish pink,umbrella,A photo of a Deep purplish pink umbrella.
1159,Deep purplish pink,couch,A Deep purplish pink colored couch.
1160,Deep purplish pink,crocodile,A crocodile rendered in Deep purplish pink color.
1161,Deep purplish pink,sweatshirt,A realistic sweatshirt in Deep purplish pink.
1162,Deep purplish pink,iron,A Deep purplish pink colored iron.
1163,Deep purplish pink,papaya,A papaya that is entirely Deep purplish pink.
1164,Deep purplish pink,sports car,A photo of a Deep purplish pink sports car.
1165,Deep purplish pink,taxi,"A taxi, and it's Deep purplish pink."
1166,Deep purplish pink,cow,A cow in a Deep purplish pink color.
1167,Deep purplish pink,tie,"A tie, and it's Deep purplish pink."
1168,Deep purplish pink,mango,"A mango, and it's Deep purplish pink."
1169,Deep purplish pink,remote,An image of a Deep purplish pink remote.
1170,Deep purplish pink,skateboard,"A skateboard, and it's Deep purplish pink."
1171,Deep purplish red,vehicle,A Deep purplish red colored vehicle.
1172,Deep purplish red,banana,A banana in a Deep purplish red color.
1173,Deep purplish red,guava,An image of a Deep purplish red guava.
1174,Deep purplish red,crocodile,The crocodile is Deep purplish red.
1175,Deep purplish red,desk,A single Deep purplish red desk.
1176,Deep purplish red,sports ball,A sports ball in a Deep purplish red color.
1177,Deep purplish red,suitcase,"A suitcase, and it's Deep purplish red."
1178,Deep purplish red,socks,A socks in a Deep purplish red color.
1179,Deep purplish red,sports car,An image of a Deep purplish red sports car.
1180,Deep purplish red,orange,A orange rendered in Deep purplish red color.
1181,Deep purplish red,sweatshirt,A sweatshirt with a Deep purplish red color.
1182,Deep purplish red,microwave,A microwave rendered in Deep purplish red color.
1183,Deep purplish red,mug,The mug is Deep purplish red.
1184,Deep purplish red,candle,A photo of a Deep purplish red candle.
1185,Deep purplish red,parrot,The parrot is Deep purplish red.
1186,Deep purplish red,baseball bat,A single Deep purplish red baseball bat.
1187,Deep purplish red,bicycle,A Deep purplish red colored bicycle.
1188,Deep purplish red,wardrobe,A Deep purplish red colored wardrobe.
1189,Deep purplish red,jeans,A jeans in a Deep purplish red color.
1190,Deep purplish red,football helmet,A Deep purplish red colored football helmet.
1191,Deep purplish red,apple,A photo of a Deep purplish red apple.
1192,Deep purplish red,chair,A chair that is entirely Deep purplish red.
1193,Deep purplish red,taxi,A taxi rendered in Deep purplish red color.
1194,Deep purplish red,cow,A cow in a Deep purplish red color.
1195,Deep purplish red,tie,A single Deep purplish red tie.
1196,Deep purplish red,pants,A pants in a Deep purplish red color.
1197,Deep purplish red,fan,A Deep purplish red fan.
1198,Deep purplish red,minivan,A Deep purplish red minivan.
1199,Deep purplish red,oven,A Deep purplish red oven.
1200,Deep purplish red,couch,A photo of a Deep purplish red couch.
1201,White,fan,A realistic fan in White.
1202,White,minivan,A realistic minivan in White.
1203,White,candle,A candle with a White color.
1204,White,duck,A White duck.
1205,White,desk,A desk rendered in White color.
1206,White,elephant,"A elephant, and it's White."
1207,White,pants,An image of a White pants.
1208,White,crocodile,A crocodile with a White color.
1209,White,chair,A chair rendered in White color.
1210,White,remote,A remote rendered in White color.
1211,White,sweatshirt,A sweatshirt that is entirely White.
1212,White,bear,A realistic bear in White.
1213,White,guava,A White guava.
1214,White,oven,A oven rendered in White color.
1215,White,sponge,"A sponge, and it's White."
1216,White,skateboard,A photo of a White skateboard.
1217,White,papaya,A papaya in a White color.
1218,White,iron,A iron with a White color.
1219,White,baseball bat,A realistic baseball bat in White.
1220,White,sports ball,A sports ball rendered in White color.
1221,White,sports car,A single White sports car.
1222,White,microwave,A photo of a White microwave.
1223,White,boxing glove,A boxing glove with a White color.
1224,White,snowboard,A snowboard that is entirely White.
1225,White,bicycle,A White bicycle.
1226,White,cow,A cow rendered in White color.
1227,White,parrot,A realistic parrot in White.
1228,White,orange,The orange is White.
1229,White,suitcase,A suitcase that is entirely White.
1230,White,taxi,A White taxi.
1231,Light gray,teapot,An image of a Light gray teapot.
1232,Light gray,remote,A remote in a Light gray color.
1233,Light gray,papaya,An image of a Light gray papaya.
1234,Light gray,elephant,A elephant that is entirely Light gray.
1235,Light gray,iron,An image of a Light gray iron.
1236,Light gray,suitcase,An image of a Light gray suitcase.
1237,Light gray,snowboard,A realistic snowboard in Light gray.
1238,Light gray,crocodile,A crocodile that is entirely Light gray.
1239,Light gray,candle,A realistic candle in Light gray.
1240,Light gray,orange,A realistic orange in Light gray.
1241,Light gray,chair,"A chair, and it's Light gray."
1242,Light gray,duck,A Light gray colored duck.
1243,Light gray,boxing glove,"A boxing glove, and it's Light gray."
1244,Light gray,sponge,A Light gray colored sponge.
1245,Light gray,socks,A socks in a Light gray color.
1246,Light gray,skateboard,A realistic skateboard in Light gray.
1247,Light gray,tie,An image of a Light gray tie.
1248,Light gray,bear,An image of a Light gray bear.
1249,Light gray,banana,The banana is Light gray.
1250,Light gray,umbrella,A umbrella rendered in Light gray color.
1251,Light gray,baseball bat,A baseball bat with a Light gray color.
1252,Light gray,fan,A fan in a Light gray color.
1253,Light gray,guava,A single Light gray guava.
1254,Light gray,cow,A single Light gray cow.
1255,Light gray,minivan,A Light gray colored minivan.
1256,Light gray,pants,A photo of a Light gray pants.
1257,Light gray,jeans,An image of a Light gray jeans.
1258,Light gray,sports ball,A Light gray sports ball.
1259,Light gray,couch,An image of a Light gray couch.
1260,Light gray,clock,A realistic clock in Light gray.
1261,Medium gray,banana,A banana in a Medium gray color.
1262,Medium gray,sports car,A photo of a Medium gray sports car.
1263,Medium gray,teapot,A single Medium gray teapot.
1264,Medium gray,snowboard,A snowboard with a Medium gray color.
1265,Medium gray,skateboard,"A skateboard, and it's Medium gray."
1266,Medium gray,candle,"A candle, and it's Medium gray."
1267,Medium gray,suitcase,A suitcase with a Medium gray color.
1268,Medium gray,tie,A tie that is entirely Medium gray.
1269,Medium gray,parrot,An image of a Medium gray parrot.
1270,Medium gray,baseball bat,A Medium gray colored baseball bat.
1271,Medium gray,jeans,An image of a Medium gray jeans.
1272,Medium gray,sweatshirt,A sweatshirt with a Medium gray color.
1273,Medium gray,chair,A Medium gray chair.
1274,Medium gray,couch,The couch is Medium gray.
1275,Medium gray,sports ball,A sports ball with a Medium gray color.
1276,Medium gray,clock,A clock rendered in Medium gray color.
1277,Medium gray,vehicle,A vehicle that is entirely Medium gray.
1278,Medium gray,minivan,A minivan in a Medium gray color.
1279,Medium gray,ruler,A realistic ruler in Medium gray.
1280,Medium gray,boxing glove,A realistic boxing glove in Medium gray.
1281,Medium gray,remote,A Medium gray remote.
1282,Medium gray,papaya,A photo of a Medium gray papaya.
1283,Medium gray,desk,A single Medium gray desk.
1284,Medium gray,orange,A photo of a Medium gray orange.
1285,Medium gray,football helmet,A Medium gray football helmet.
1286,Medium gray,bear,A single Medium gray bear.
1287,Medium gray,mug,"A mug, and it's Medium gray."
1288,Medium gray,sponge,A photo of a Medium gray sponge.
1289,Medium gray,apple,A realistic apple in Medium gray.
1290,Medium gray,bicycle,An image of a Medium gray bicycle.
1291,Dark gray,bus,A photo of a Dark gray bus.
1292,Dark gray,bicycle,A bicycle rendered in Dark gray color.
1293,Dark gray,oven,A oven with a Dark gray color.
1294,Dark gray,sweatshirt,A single Dark gray sweatshirt.
1295,Dark gray,pants,A single Dark gray pants.
1296,Dark gray,couch,A couch in a Dark gray color.
1297,Dark gray,minivan,A Dark gray colored minivan.
1298,Dark gray,microwave,The microwave is Dark gray.
1299,Dark gray,desk,A single Dark gray desk.
1300,Dark gray,parrot,A parrot with a Dark gray color.
1301,Dark gray,duck,The duck is Dark gray.
1302,Dark gray,mug,A photo of a Dark gray mug.
1303,Dark gray,chair,A photo of a Dark gray chair.
1304,Dark gray,crocodile,"A crocodile, and it's Dark gray."
1305,Dark gray,socks,A Dark gray colored socks.
1306,Dark gray,jeans,A jeans that is entirely Dark gray.
1307,Dark gray,boxing glove,A Dark gray boxing glove.
1308,Dark gray,guava,An image of a Dark gray guava.
1309,Dark gray,orange,A single Dark gray orange.
1310,Dark gray,bear,A bear that is entirely Dark gray.
1311,Dark gray,banana,"A banana, and it's Dark gray."
1312,Dark gray,taxi,An image of a Dark gray taxi.
1313,Dark gray,umbrella,A Dark gray colored umbrella.
1314,Dark gray,remote,An image of a Dark gray remote.
1315,Dark gray,candle,A candle rendered in Dark gray color.
1316,Dark gray,teapot,A realistic teapot in Dark gray.
1317,Dark gray,sponge,A sponge rendered in Dark gray color.
1318,Dark gray,papaya,A Dark gray papaya.
1319,Dark gray,elephant,An image of a Dark gray elephant.
1320,Dark gray,ruler,A ruler with a Dark gray color.
1321,Black,taxi,A taxi in a Black color.
1322,Black,sponge,"A sponge, and it's Black."
1323,Black,sports ball,A sports ball in a Black color.
1324,Black,orange,A realistic orange in Black.
1325,Black,clock,A Black colored clock.
1326,Black,desk,The desk is Black.
1327,Black,oven,A oven rendered in Black color.
1328,Black,bear,The bear is Black.
1329,Black,guava,A Black guava.
1330,Black,crocodile,A crocodile in a Black color.
1331,Black,football helmet,A football helmet in a Black color.
1332,Black,snowboard,A snowboard that is entirely Black.
1333,Black,microwave,A microwave rendered in Black color.
1334,Black,fan,A fan in a Black color.
1335,Black,umbrella,A photo of a Black umbrella.
1336,Black,parrot,A photo of a Black parrot.
1337,Black,apple,A Black colored apple.
1338,Black,iron,A iron in a Black color.
1339,Black,boxing glove,"A boxing glove, and it's Black."
1340,Black,mug,The mug is Black.
1341,Black,sweatshirt,A sweatshirt with a Black color.
1342,Black,jeans,A jeans that is entirely Black.
1343,Black,cow,A realistic cow in Black.
1344,Black,suitcase,A suitcase rendered in Black color.
1345,Black,baseball bat,"A baseball bat, and it's Black."
1346,Black,teapot,The teapot is Black.
1347,Black,minivan,A minivan in a Black color.
1348,Black,couch,"A couch, and it's Black."
1349,Black,candle,A Black candle.
1350,Black,bus,"A bus, and it's Black."
